"Group","SampID","Type..sediment.or.soil.","Easting","Northing","Depth_upper_cm","Depth_lower_cm","pH","EC","Sample.ID","Group.1","Sample","ICP.Sample.ID","weight","volume","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Longitude","Latitude"
5,"3","soil",400291,6468238,0,"10",5.82,2379,"Group 10 Sample 6",10,"6","ENVT 3361_AR dig_56",0.299,20,19774.111,NA,56.22,909.335,0.077,37.509,3.902,41.181,31.968,14780.151,2.628,1221.832,18.573,18.987,2138.665,48.278,3.424,6875.967,15.292,13.035,91.53,15.205,1067.06,26.419,11.893,48.053,6.991,39.073,115.945350708161,-31.9173695801968
5,"4","soil",400286,6468239,0,"10",5.93,3140,"Group 10 Sample 7",10,"7","ENVT 3361_AR dig_57",0.308,20,12960.427,1.282,41.857,731.832,0.086,24.077,2.288,24.758,20.842,10275.993,1.742,807.938,11.84,13.501,1693.583,40.919,3.562,6367.318,10.079,5.723,48.94,7.858,1029.933,18.585,10.044,35.093,4.013,20.652,115.945297932399,-31.9173601208166
5,"5","soil",400279,6468245,0,"10",5.76,1805,"Group 6 Sample 1",6,"1","ENVT 3361_AR dig_59",0.302,20,37034.081,13.841,157.621,3257.151,0.202,203.861,10.868,56.042,417.728,48342.742,12.472,3008.778,94.353,43.669,4908.235,73.548,3.163,16319.532,70.314,25.137,1871.792,472.849,5184.432,238.676,10.82,65.177,46.203,257.343,115.945224519895,-31.9173053838194
5,"6","soil",400268,6468252,0,"10",5.76,3210,"Group 6 Sample 2",6,"2","ENVT 3361_AR dig_60",0.302,20,36700.605,4.367,78.062,1584.449,0.079,126.349,8.975,66.621,127.358,36525.663,7.788,2796.975,59.825,29.668,4555.321,64.997,0.898,12142.781,45.94,24.264,478.194,90.844,1719.024,48.28,19.902,69.342,26.587,138.722,115.945108907531,-31.9172412751344
5,"7","soil",400259,6468257,0,"10",5.89,2297,"Group 6 Sample 3",6,"3","ENVT 3361_AR dig_61",0.301,20,32240.549,19.199,121.482,3766.367,0.14,143.277,9.062,58.356,386.452,50724.616,8.455,2490.046,77.762,27.491,4897.605,64.389,3.421,18093.189,47.833,21.84,2391.548,831.095,3999.849,204.268,11.394,70.229,35.102,191.58,115.945014240834,-31.9171953827865
5,"8","soil",400253,6468262,0,"10",5.71,2005,"Group 6 Sample 4",6,"4","ENVT 3361_AR dig_62",0.303,20,36723.359,5.394,81.313,1890.602,0.051,136.294,9.487,61.824,116.077,38565.38,8.51,2797.618,61.328,33.81,4867.292,75.407,1.152,14005.542,48.939,21.092,704.891,84.53,2075.195,71.906,19.576,67.993,29.009,156.157,115.944951301373,-31.9171497538548
5,"9","soil",400242,6468273,0,"10",5.92,6340,"Group 6 Sample 5",6,"5","ENVT 3361_AR dig_63",0.304,20,34334.178,NA,82.417,1872.303,0.096,161.446,10.227,58.179,99.455,41690.547,9.557,2719.99,79.911,35.284,4575.698,93.952,1.453,11669.545,54.902,22.436,609.75,71.151,2072.337,67.643,17.586,71.67,38.2,214.464,115.944836101323,-31.917049563341
7,"1","Sediment ",400510,6468319,0,"29",6.8,127.7,"Group 6 Sample 6",6,"6","ENVT 3361_AR dig_64",0.303,20,35411.962,6.561,74.323,2979.763,0.115,106.321,19.24,59.569,260.569,72095.997,7.786,2924.466,55.106,34.007,5865.86,194.685,2.218,19468.71,40.279,38.848,1099.718,123.633,3403.599,76.938,16.949,69.187,25.085,344.064,115.947675115405,-31.9166581332452
7,"2","Sediment ",400504,6468308,0,"36",7.14,150.9,"Group 6 Sample 7",6,"7","ENVT 3361_AR dig_65",0.302,20,35372.234,4.752,82.859,2051.094,0.091,150.335,11.432,62.539,110.338,39637.298,8.981,2861.246,76.807,36.21,5231.54,107.078,1.2,13791.78,52.043,24.588,520.064,58.953,2189.548,62.663,19.805,73.065,34.534,195.151,115.947610531607,-31.9167568320927
7,"3","Sediment ",400492,6468314,0,"38",7.5,246.4,"Group 6 Sample 8",6,"8","ENVT 3361_AR dig_66",0.302,20,36608.839,4.43,79.131,2167.399,0.093,183.675,8.79,58.853,89.586,29019.7,10.841,2721.223,86.051,41.045,4434.761,96.578,1.081,12033.924,63.183,21.681,357.046,45.792,2023.24,61.597,18.651,66.541,41.942,126.852,115.947484239807,-31.9167016583432
7,"4","Sediment ",400488,6468317,0,"30",7.62,14,"Group 6 Sample 9",6,"9","ENVT 3361_AR dig_67",0.302,20,33066.065,2.76,81.978,2005.604,0.083,133.162,12.848,60.142,101.913,40911.12,8.079,2896.363,67.068,33.104,4879.581,103.679,1.192,13685.143,47.458,25.374,500.893,50.437,2149.903,58.602,20.011,71.618,30.438,205.538,115.9474422453,-31.9166742466613
7,"5","Sediment ",400483,6468321,0,"40",7.07,250.4,"Group 6 Sample 10",6,"10","ENVT 3361_AR dig_68",0.302,20,34277.764,6.881,81.016,2171.939,0.186,173.193,16.056,60.681,154.963,47101.123,10.144,3097.33,90.877,39.322,5214.778,105.372,1.36,13498.286,58.568,32.27,735.955,71.753,2507.694,74.251,18.245,71.819,42.443,405.403,115.947389777884,-31.9166377269388
7,"6","Sediment ",400473,6468324,0,"17",6.65,122,"Group 9 Sample 1",9,"1","ENVT 3361_AR dig_69",0.304,20,38771.519,4.261,79.017,1849.544,0.088,112.274,17.383,77.185,44.148,44104.405,7.709,2197.232,57.195,19.347,3598.683,600.149,1.332,2050.341,45.355,31.649,478.633,42.58,600.659,39.343,17.407,90.287,23.265,62.629,115.947284329475,-31.9166097894533
7,"7","Sediment ",400453,6468339,0,"18",6.91,164.7,"Group 9 Sample 2",9,"2","ENVT 3361_AR dig_70",0.303,20,36236.711,2.259,73.137,1347.823,0.077,91.65,14.054,69.83,33.869,44124.209,6.516,1907.552,46.931,21.042,2709.375,442.215,2.041,1956.922,36.919,27.038,404.225,35.872,460.851,31.272,15.223,87.916,19.986,36.866,115.947074357702,-31.9164727305875
7,"8","Sediment ",400439,6468346,0,"14",6.73,168.7,"Group 9 Sample 3",9,"3","ENVT 3361_AR dig_71",0.304,20,38229.098,1.674,58.631,999.325,0.078,94.777,13.641,70.547,30.577,50081.123,6.777,1974.575,47.383,28.994,2458.496,335.694,3.13,2291.52,37.861,23.821,403.729,42.76,459.895,22.854,17.39,99.315,22.082,19.463,115.946927018123,-31.9164083605943
7,"9","Sediment ",400422,6468331,0,"31",6.78,154.8,"Group 9 Sample 4",9,"4","ENVT 3361_AR dig_72",0.3,20,42842.48,NA,47.131,1024.304,0.052,113.936,18.534,75.112,28.875,51015.527,7.803,1994.022,55.154,37.753,2537.102,409.03,3.53,2761.277,43.768,26.808,301.566,49.033,485.513,24.532,19.143,101.619,27.554,16.261,115.946745690439,-31.9165421762804
8,"1","Sediment ",400167,6467930,0,"10",5.89,1346,"Group 9 Sample 5",9,"5","ENVT 3361_AR dig_73",0.3,20,51041.021,2.386,45.545,1100.535,0.089,113.399,16.743,74.427,28.204,52633.26,8.64,2167.375,52.145,53.059,2887.834,382.372,4.297,4117.177,45.578,27.901,221.208,43.139,616.312,29.466,18.492,101.117,27.774,14.401,115.944007572015,-31.920136967653
8,"2","Sediment ",400167,6467930,10,"20",5.17,1780,"Group 9 Sample 6",9,"6","ENVT 3361_AR dig_74",0.302,20,39586.445,2.009,124.082,1024.105,0.029,63.016,8.244,61.273,20.795,39400.692,5.208,1763.594,29.899,42.201,2795.189,178.433,3.183,4672.495,27.014,19.817,121.952,21.459,591.924,33.682,18.09,85.988,13.577,11.207,115.944007572015,-31.920136967653
